Medicine Name,Uses,
Avastin 400mg Injection, Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,
Augmentin 625 Duo Tablet,Treatment of Bacterial infections,
Azithral 500 Tablet,Treatment of Bacterial infections,
Ascoril LS Syrup,Treatment of Cough with mucus,
Aciloc 150 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Allegra 120mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Avil 25 Tablet,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,
Aricep 5 Tablet, Alzheimer's disease,
Amoxyclav 625 Tablet,Treatment of Bacterial infections,
Atarax 25mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Azee 500 Tablet,Treatment of Bacterial infections,
Anovate Cream,Treatment of Piles,
Allegra-M Tablet,Treatment of Sneezing and runny nose due to allergies,
Ascoril D Plus Syrup Sugar Free,Treatment of Dry cough,
Alex Syrup,Treatment of Dry cough,
Armotraz Tablet, Breast cancer,
Augmentin Duo Oral Suspension,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,
Albendazole 400mg Tablet,Treatment of Parasitic infections,
Arkamin Tablet,Treatment of Hypertension (high blood pressure),
Allegra 180mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Altraday Capsule SR, Pain relief,
Atarax 10mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Aldigesic-SP Tablet, Pain relief,
Aldactone Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,
Aricep 10 Tablet, Alzheimer's disease,
Aricep-M  Tablet, Alzheimer's disease,
Andre I-Kul Eye Drop,Treatment of Allergic eye disease,
Anafortan 25 mg/300 mg Tablet,Treatment of Abdominal pain,
Atarax Syrup,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Ambrodil-S Syrup,Treatment of Cough,
Asthakind-DX Syrup Sugar Free,Treatment of Dry cough,
Aceclo Plus Tablet, Pain relief,
Althrocin 500 Tablet,Treatment of Bacterial infections,
Asthalin Syrup,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,
Axcer  90mg Tablet, Prevention of heart attack and stroke,
Arachitol 6L Injection,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,
Alfoo 10mg Tablet PR,Treatment of Benign prostatic hyperplasia,
Azithral 200 Liquid,Treatment of Bacterial infections,
Acemiz Plus Tablet, Pain relief,
Allegra Suspension Raspberry &amp; Vanilla,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,
Alex Junior Syrup,Treatment of Dry cough,
Azicip 500 Tablet,Treatment of Bacterial infections,
Avil Injection,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,
Aquasol A Capsule,Treatment of Vitamin A deficiency,
Anobliss Cream,Treatment of Anal fissure,
Augmentin DDS Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,
Almox 500 Capsule,Treatment of Bacterial infections,
AF Kit Tablet,Treatment of Syndromic treatment of vaginal discharge,
Ascoril LS Junior Syrup,Treatment of Cough with mucus,
Asthalin 100mcg Inhaler,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,
Aptimust Syrup, Appetite stimulant,
AB Phylline Capsule,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Azee 200mg Dry Syrup,Treatment of Bacterial infections,
Adaferin Gel, Acne,
Amitone 10mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,
Ambrodil Syrup,Treatment of Respiratory tract disorders associated with viscid mucus,
AB-Flo-N Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),
Ascoril LS Drops,Acute Sore throatTreatment of Cough with mucus,
Alex Cough Lozenges Lemon Ginger, Dry cough,
Atorva 40 Tablet, High cholesterolPrevention of Heart attack,
Aziderm 20% Cream,Treatment of Acne,
Ascoril D Junior Cough Syrup,Treatment of Dry cough,
Acogut Tablet,Treatment of Functional dyspepsia,
Augmentin 1000 Duo Tablet,Treatment of Bacterial infections,
Ano Metrogyl Cream,Treatment of Anal fissure,
Angispan - TR 2.5mg Capsule,Treatment of Angina (heart-related chest pain),
Apdrops Eye Drop,Treatment of Bacterial eye infections,
Acivir 400 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,
Acivir Cream, Herpes labialis,
Avil Injection,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,
Azee 250 Tablet,Treatment of Bacterial infections,
Aldigesic P 100mg/325mg Tablet, Pain relief,
Acitrom 2 Tablet,Treatment and prevention of Blood clots,
Alerid Syrup,Treatment of Allergic conditions,
Atorva Tablet, High cholesterolPrevention of Heart attack,
Azax 500 Tablet,Treatment of Bacterial infections,
Aztor 10 Tablet, High cholesterolPrevention of Heart attack,
Alciflox D Eye/Ear Drops,Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation,
Amifru 40 Tablet,Treatment of Edema,
Aciloc 300 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,
Augmentin 1.2gm Injection,Treatment of Bacterial infections,
Asthakind Expectorant Sugar Free,Treatment of Cough with mucus,
Atorva 20 Tablet, High cholesterolPrevention of Heart attack,
AB Phylline SR 200 Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),
Aricep-M  Forte Tablet, Alzheimer's disease,
Amaryl 1mg Tablet,Treatment of Type 2 diabetes mellitus,
Add Tears Lubricant Eye Drop,Treatment of Dry eyes,
Aceclo-MR Tablet,Treatment of Muscular pain,
Atarax Drops,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,
Ambrodil-LX Syrup,Treatment of Cough with mucus,
Asthakind-LS Expectorant Cola Sugar Free,Treatment of Cough with mucus,
Acton-OR Tablet SR, Pain relief Fever,
Avamys Nasal Spray,Treatment of Sneezing and runny nose due to allergies,
AB Phylline N Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),
Acenac-P  Tablet, Pain relief,
Aldactone 50 Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,
Alerid Tablet,Treatment of Allergic conditions,
Aerocort Inhaler, Asthma,
Acemiz-S Tablet, Pain relief,
Asthalin Respules,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,
Azeflo Nasal Spray,Treatment of Sneezing and runny nose due to allergies,
Ace Proxyvon Tablet, Pain relief,
Antiflu 75mg Capsule,Treatment of Influenza (flu),
Augmentin 375 Tablet,Treatment of Bacterial infections,
Admenta 5 Tablet, Alzheimer's disease,
Azmarda 50mg Tablet,Treatment of Heart failure,
Alerid-D Tablet,Treatment of Sneezing and runny nose due to allergies,
Aldosmin 500mg Tablet, Varicose veins,
Allercet-DC Tablet,Treatment of Sneezing and runny nose due to allergies,
Amlip 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),
Acitrom 1 Tablet,Treatment and prevention of Blood clots,
AF 400 Tablet,Treatment of Fungal infections,
Amlopres-AT Tablet,Treatment of Hypertension (high blood pressure),
Aztolet  10 Tablet, Heart attack prevention and high cholesterol,
Azikem 500mg Tablet,Treatment of Bacterial infections,
